,LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,COL,,,,,,,,,,,,,,,,12.2274,14.641665,17.928863,19.753489,22.783081,26.842747,30.319032,35.876317,41.854905,49.705013,60.599062,77.296983,93.719844,116.417231,140.635534,137.18374,168.493739,203.594148,248.241907,308.046318,367.803376,432.409857,507.564396,587.88726,666.799508,742.410525,779.346527,819.000018,879.164212,923.162335,961.4875,987.445252,1011.636827,1068.519965,1103.534382,1132.327837,1179.998238,1215.696024,1218.821028,1232.8894,1289.323671,1298.142605,1328.016627,1322.160543,1343.601781,1320.0954,1358.650605
13,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.140615,51.147156,59.854953,64.537187,73.081835,86.768984,98.210041,110.646281,122.70747,134.751812,144.214227,154.890735,167.514856,182.094963,201.163504,220.649121,242.090086,260.594583,284.808581,310.431036,327.018289,334.89666,343.876659,347.806785,353.243788,353.963974,343.013617,340.991882,337.901936,331.167742,320.849715,332.026908
14,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690406,0.696858,0.702077,0.711241,0.720749,0.717098,0.711837,0.710508,0.736531,0.733637,0.722889,0.709836,0.694235,0.693813,0.68208,0.700139,0.698619,0.706854,0.687313,0.67971,0.663142,0.622325,0.615183,0.612439,0.616215,0.612104,0.611901
15,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.563923,7.329764,8.052024,9.518048,10.469201,11.158714,12.075369,12.903152,13.987135,14.22935,14.332421,14.326301,14.458321,14.176016,14.426129,14.562493,14.414552,14.258779,13.916713,13.638435,13.672004,13.345305,13.297699,12.785271,12.70321,12.93798,12.576343,12.424986,12.371528,12.663206,12.793019,12.919712
16,DEU,1.242774,1.288992,1.309573,1.330448,1.346592,1.358786,1.358207,1.340967,1.308165,1.295629,1.28557,1.316797,1.319436,1.329689,1.308665,1.265595,1.239238,1.202921,1.163721,1.12054,1.083729,1.031386,1.015871,1.005031,0.989331,0.979379,0.988841,0.977328,0.959986,0.950367,0.947191,0.944473,0.972428,0.986803,0.985994,0.984877,0.974407,0.972882,0.968708,0.954119,0.943211,0.929967,0.913257,0.895937,0.875063,0.872721,0.847574,0.837303,0.820401,0.811106,0.80504,0.788739,0.787246,0.774784,0.768937,0.778122,0.752608,0.744783,0.735448,0.751098,0.738351,0.741488
17,DEW,1.242774,1.288992,1.309573,1.330448,1.346592,1.358786,1.358207,1.340967,1.308165,1.295629,1.303072,1.334555,1.337055,1.347917,1.326776,1.28311,1.256547,1.219827,1.18022,1.136884,1.099667,1.04778,1.031753,1.02045,1.005072,0.994618,1.004198,0.991735,0.974387,0.96492,0.962098,0.959853,0.989134,1.004635,1.008222,1.007466,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DNK,3.941534,4.071686,4.244655,4.424863,4.547297,4.752777,4.957231,5.110157,5.208318,5.28073,6.107896,6.246054,6.562085,6.881879,7.151333,7.419236,7.691854,7.88467,8.026174,7.935162,7.918967,8.008082,8.307222,8.584543,8.779394,8.875433,8.90168,9.099904,9.136572,9.228442,9.126955,9.063187,9.007981,8.850435,8.801049,8.730836,8.709891,8.699513,8.661685,8.752578,8.671299,8.694404,8.561606,8.647856,8.459827,8.569438,8.287109,8.162445,7.944128,7.731134,7.590837,7.466492,7.564136,7.354846,7.328674,7.305357,7.079856,6.871679,6.765997,6.791558,6.632676,6.593618
19,EA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885829,0.893436,0.877687,0.870088,0.874115,0.863686,0.860614,0.852016,0.857877,0.856019,0.852717,0.826353,0.820202,0.806163,0.795024,0.792931,0.78045,0.77417,0.755544,0.752027,0.755255,0.729729,0.721085,0.713393,0.716695,0.705882,0.703807
20,ESP,0.131135,0.133076,0.138027,0.146707,0.153136,0.162628,0.169989,0.179352,0.181146,0.181077,0.181666,0.186468,0.193966,0.205679,0.218787,0.233844,0.258195,0.299933,0.338035,0.364988,0.379455,0.38947,0.416629,0.448573,0.479992,0.505271,0.549179,0.567783,0.580993,0.59763,0.61827,0.639521,0.667232,0.681356,0.692993,0.712244,0.72246,0.72368,0.723824,0.73921,0.739871,0.747739,0.742312,0.759264,0.765895,0.769508,0.735997,0.73241,0.725862,0.718681,0.726924,0.714129,0.694976,0.6748,0.662359,0.66474,0.642644,0.630839,0.631798,0.633175,0.627393,0.624463
21,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174679,0.238871,0.307567,0.37731,0.409495,0.43542,0.462332,0.46892,0.488013,0.486245,0.485772,0.493649,0.503328,0.520791,0.551182,0.545055,0.51712,0.512097,0.5116,0.521063,0.522424,0.52689,0.53758,0.527849,0.534908,0.538757,0.552181,0.53617,0.546689
