,LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.595136,87.766267,98.31101,105.628445,143.745647,209.832945,246.779201,253.493142,266.238387,281.412883,307.017714,324.02403,371.690308,358.285566,397.613617,456.321253,490.317975,526.532055,555.299552,589.995537,642.562215,694.862671,742.898193,777.658813,823.956116,886.091309,941.010864,1013.434631,1060.518935,1128.765955,1171.720142,1205.855631
44,MEX,0.005534,0.005717,0.005762,0.005883,0.006167,0.006136,0.006207,0.006229,0.006132,0.006092,0.006007,0.006053,0.006164,0.006594,0.007425,0.007867,0.008915,0.010945,0.01194,0.013256,0.015647,0.018011,0.027316,0.050119,0.07697,0.116741,0.198682,0.464669,0.89541,1.090206,1.346483,1.605263,1.795676,2.0568,2.191223,2.971754,3.693004,4.310915,4.920691,5.63367,6.103205,6.329336,6.553697,6.64469,6.986186,7.126862,7.155423,7.370463,7.469532,7.434067,7.679662,7.673013,7.858708,7.884359,8.045318,8.327595,8.446043,8.913552,9.276363,9.650165,9.702813,10.043314
45,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.746898,18.751469,19.039173,19.946306,20.501634,20.015094,20.100575,19.261725,19.293497,18.88551,19.513648,19.263751,18.364052,18.730311,19.289492,19.003537,19.105276,18.995822,19.440684,18.958582,18.970122,18.951031,19.009665,18.929174,19.545723
46,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579735,0.576415,0.575158,0.580708,0.583357,0.580054,0.589103,0.581837,0.573901,0.566255,0.572728,0.571617,0.568111,0.57155,0.569454,0.572477,0.574147,0.57973,0.577475,0.586359,0.599702,0.583015,0.586423,0.586718,0.587628,0.586052,0.589318
47,NLD,0.871991,0.909057,0.895446,0.923993,0.986486,1.01836,1.042898,1.05645,1.049738,1.062781,1.089181,1.127604,1.180814,1.217677,1.218671,1.234026,1.273212,1.275343,1.255509,1.206552,1.153748,1.121368,1.104949,1.078072,1.064539,1.040841,1.022453,0.987327,0.961503,0.937702,0.917966,0.915617,0.917558,0.91063,0.909982,0.909695,0.905398,0.90866,0.905945,0.906357,0.89055,0.905085,0.900863,0.925503,0.907793,0.897139,0.871916,0.8602,0.847775,0.848344,0.854046,0.836065,0.824408,0.798166,0.808798,0.809978,0.795448,0.78215,0.776747,0.794447,0.774008,0.769839
48,NOR,6.181021,6.283565,6.435664,6.558047,6.746634,6.87698,6.909397,6.915687,6.886754,6.822766,7.021888,7.109781,7.191203,7.409687,7.570966,7.544808,7.711957,7.854002,7.79729,7.610493,7.896183,8.142678,8.474868,8.723248,8.942352,9.118795,8.889546,9.301482,9.421974,9.575356,9.581643,9.473196,9.20287,9.195887,8.989584,9.074512,8.975932,9.056413,9.312354,9.283739,9.086557,9.177039,9.05673,9.197485,9.125651,9.005204,8.780118,8.922942,8.859281,9.083913,9.151227,9.082736,9.037085,9.029349,9.278458,9.932516,10.0419,9.74983,9.583999,9.975182,10.119987,9.674744
49,NZL,0.481728,0.460293,0.476968,0.480126,0.490676,0.486977,0.459276,0.485299,0.489692,0.469908,0.534726,0.567213,0.58834,0.620426,0.592902,0.592658,0.685699,0.774624,0.785834,0.854614,0.903731,0.974328,1.006066,1.03051,1.054869,1.179706,1.333317,1.471919,1.536628,1.549465,1.538101,1.491887,1.486474,1.482892,1.463663,1.46232,1.466707,1.447951,1.447303,1.43466,1.443958,1.473589,1.468962,1.496707,1.507009,1.535,1.480932,1.504794,1.490709,1.471921,1.496928,1.485915,1.495622,1.445979,1.44073,1.478014,1.441008,1.430959,1.47006,1.428259,1.436351,1.486354
50,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266043,0.399537,0.541519,0.691075,0.928562,1.163951,1.351166,1.512987,1.655,1.737656,1.833166,1.837606,1.799795,1.804465,1.830045,1.867595,1.850453,1.853936,1.842243,1.869157,1.804815,1.801424,1.796168,1.762045,1.767142,1.765116,1.732843,1.742879,1.748426,1.787166,1.7905,1.837204
51,PRT,0.064239,0.064913,0.063312,0.063903,0.063896,0.064586,0.065693,0.066374,0.064355,0.065716,0.063582,0.06355,0.065671,0.068153,0.074322,0.079062,0.087133,0.103694,0.11853,0.130724,0.144955,0.155744,0.17703,0.212274,0.255439,0.301425,0.355903,0.382382,0.410593,0.436644,0.476213,0.507096,0.552546,0.579567,0.608746,0.616686,0.628468,0.641141,0.656782,0.660642,0.661116,0.671054,0.672081,0.669797,0.676147,0.664259,0.640156,0.646816,0.636148,0.627329,0.623122,0.623083,0.605398,0.583607,0.578868,0.584947,0.571416,0.575688,0.571227,0.576159,0.568553,0.571596
52,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06183,0.08765,0.2032,0.296563,0.438331,0.61618,0.813686,0.978351,1.176677,1.268748,1.401277,1.399446,1.487916,1.566223,1.567217,1.537645,1.550032,1.563595,1.606221,1.628367,1.662879,1.596919,1.613568,1.66558,1.715435,1.70758,1.745966
53,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71517,2.455975,2.778421,3.258399,5.539641,7.301404,8.322817,9.273504,9.866787,11.556843,12.736131,12.618288,13.984503,14.341196,14.016913,15.821142,18.443729,19.56826,19.505592,20.998875,23.562632,24.192337,24.124181,24.542904,24.838261,24.492859,27.331899
54,SAU,,,,,,,,,,,0.446188,0.471683,0.454919,0.474891,0.99438,0.882648,1.019232,1.038029,1.021863,1.183677,1.483953,1.474692,1.316578,1.172671,1.103191,0.997756,0.796399,0.806691,0.741503,0.770356,0.846625,0.800402,0.780247,0.749495,0.74186,0.7689,0.814295,0.828186,0.704855,0.795763,0.863324,0.830399,0.866362,0.869276,0.94015,1.095242,1.18541,1.25158,1.445263,1.210407,1.401647,1.586354,1.650197,1.666466,1.646281,1.591297,1.63892,1.649027,1.863075,1.795289,1.619635,1.784958
55,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.275988,165.101377,160.08698,156.512019,205.404591,215.496291,220.428237,220.977328,224.590516,220.305789,218.244411,228.3655,229.143775,222.635128,216.522371,219.85002,219.423287,227.726098,241.799753,236.201716,237.141428,241.276062,245.599808,247.211914,243.618332,242.595215,244.657715,246.786667,239.006736,239.649156,240.31656,236.380142
56,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971486,0.981387,0.972836,0.983155,0.995931,1.00646,1.003251,0.996944,0.972748,0.92491,0.939362,0.901997,0.880189,0.847625,0.858151,0.847872,0.837662,0.863878,0.835911,0.855122,0.854328,0.846738,0.845872,0.858817,0.863951,0.8796,0.878306,0.88598,0.895652,0.876752,0.840563,0.839572
57,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.599904,17.830736,20.357691,22.635836,24.093802,27.032759,28.824586,30.425147,31.324467,33.262548,34.833387,36.323581,37.982549,39.322683,39.801943,40.737463,40.454952,40.820835,41.004083,41.475113,41.768579,
58,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314764,0.354724,0.394015,0.424094,0.435985,0.450417,0.466061,0.494406,0.516451,0.515824,0.521518,0.544347,0.564488,0.564715,0.554596,0.553762,0.53743,0.515563,0.502086,0.506407,0.504542,0.491124,0.485412,0.491548,0.503194,0.516433,0.526001,0.53942,0.537942,0.540124
59,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034743,0.065508,0.197382,0.264304,0.317234,0.389654,0.427029,0.455885,0.4825,0.508506,0.526578,0.560264,0.583286,0.607891,0.607829,0.610135,0.609683,0.630365,0.633789,0.645474,0.6379,0.62397,0.606793,0.590407,0.591238,0.595298,0.577106,0.570149,0.567612,0.569799,0.561764,0.565944
60,SWE,4.472795,4.559932,4.636998,4.696337,4.816451,4.966419,5.113278,5.219494,5.09653,5.011489,4.997141,5.094217,5.223641,5.300593,5.322936,5.57869,5.917926,6.158413,6.303132,6.282566,6.437188,6.396328,6.511169,6.88945,7.157312,7.382243,7.694051,7.86285,8.094024,8.405907,8.870226,9.287649,9.172908,9.158744,9.199332,9.353814,9.248394,9.329777,9.395892,9.3059,9.164252,9.404224,9.413655,9.485983,9.294303,9.479182,9.111461,8.872908,8.778986,8.920741,9.024622,8.844042,8.654768,8.597681,8.727131,8.854383,8.822586,8.852247,8.865881,8.99766,8.747881,8.708853
61,TUR,4e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,6e-06,6e-06,6e-06,5e-06,5e-06,5e-06,6e-06,7e-06,8e-06,9e-06,1e-05,1.4e-05,2.3e-05,3.9e-05,5.2e-05,6.3e-05,7.6e-05,0.000109,0.000162,0.000216,0.000281,0.00046,0.000777,0.001185,0.001821,0.002915,0.004778,0.009658,0.017708,0.030974,0.055366,0.128872,0.196465,0.28163,0.415071,0.591251,0.736546,0.792173,0.834589,0.841805,0.851309,0.87996,0.904628,0.920309,0.966176,1.019856,1.070294,1.104504,1.162452,1.241052,1.38398,1.63261,1.926257,2.197153,2.781851
62,USA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,ZAF,,,,,,,,,,,0.264638,0.267003,0.284232,0.319083,0.339394,0.344235,0.360337,0.377132,0.393263,0.417844,0.478568,0.481509,0.51691,0.579614,0.62364,0.70617,0.810963,0.905983,1.00769,1.136695,1.258557,1.407964,1.579144,1.742831,1.873827,2.034262,2.157941,2.293984,2.451646,2.584119,2.758894,2.908572,3.223016,3.362784,3.472747,3.555619,3.658372,3.855828,4.080267,4.405504,4.61997,4.776628,5.107817,5.295738,5.571891,5.825256,6.159093,6.426701,6.525087,6.698856,6.96812,7.168097
64,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009567,0.017828,0.046285,0.110166,0.194954,0.249402,0.304553,0.375443,0.434034,0.504717,0.654497,0.802215,0.943074,1.087662,1.268074,1.434236,1.593633,1.752957,1.902978,1.995984,2.247433,2.446346,2.651491,2.832861,3.064822,3.366482,3.878827,4.19258,4.398242,4.650791,5.226975,6.190462
